Word,Count
*,1691
the,329
OF,280
OR,245
and,234
of,199
in,158
-,143
this,140
AND,140
ANY,140
to,132
****************************************************************************,116
***********************************************************************,116
with,113
THE,105
Atmel,105
following,105
conditions,105
IN,105
code,88
be,84
or,79
other,74
are,73
provided,71
use,71
above,71
list,70
THIS,70
may,70
binary,70
ATMEL,70
NOT,70
software,70
source,70
copyright,70
without,70
disclaimer,70
\notice,\,70
IMPLIED,70
Redistributions,70
BUT,70
\LIABILITY,\,70
LIMITED,70
FOR,70
\TO,\,70
used,70
must,70
,66
is,53
from,46
not,45
an,44
1,40
Register,39
2,37
IF,36
The,36
that,36
All,36
This,36
(license.txt),35
3,35
subject,35
USE,35
\(INCLUDING,\,35
permission,35
PURPOSE,35
permitted,35
ARISING,35
documentation,35
PROCUREMENT,35
BE,35
BUSINESS,35
ON,35
OUT,35
product,35
2014-03-18,35
HOWEVER,35
Atmel's,35
GOODS,35
THEORY,35
Agreement,35
prior,35
\brief,35
OTHERWISE),35
name,35
\file,35
met:,35
WARRANTIES,35
(INCLUDING,35
@brief,35
PROVIDED,35
NO,35
EXPRESS,35
written,35
EVENT,35
(C),35
\2012-2014,\,35
PARTICULAR,35
redistributed,35
ataradov,35
\"\AS\,35
materials,35
WAY,35
BY,35
Modification,35
\DIRECT,\,35
\CONTRACT,\,35
products,35
Copyright,35
9267,35
POSSIBILITY,35
STRICT,35
ADVISED,35
WHETHER,35
Limited,35
\EXEMPLARY,\,35
form,35
SUCH,35
Corporation,35
INTERRUPTION),35
ARE,35
$Id:,35
\forms,\,35
DAMAGE,35
A,35
Redistribution,35
NEGLIGENCE,35
NON-INFRINGEMENT,35
microcontroller,35
CAUSED,35
\MERCHANTABILITY,\,35
only,35
EVEN,35
\INCLUDING,\,35
$,35
\modification,\,35
\INDIRECT,\,35
LIABLE,35
SOFTWARE,35
SUBSTITUTE,35
reproduce,35
\USE,\,35
\INCIDENTAL,\,35
\asf_license_start,35
retain,35
PROFITS;,35
FITNESS,35
SPECIFICALLY,35
promote,35
\SPECIAL,\,35
IS,35
\SOFTWARE,\,35
21:46:19Z,35
\IS"\\,35
rights,35
LOSS,35
\DATA,\,35
derived,35
endorse,35
and/or,35
EXPRESSLY,35
DAMAGES,35
4,35
\asf_license_stop,35
DISCLAIMED,35
SHALL,35
\WARRANTIES,\,35
distribution,35
specific,35
TORT,35
reserved,35
connection,35
SERVICES;,35
CONSEQUENTIAL,35
License,35
---------------------------------------------------------------,34
a,34
Includes,34
Transceiver,32
Control,32
Enable,26
Prototypes,23
-------------------------------------------------------------,23
for,23
Interrupt,21
Status,21
frame,19
------------------------------------------------------------,17
@param[in],17
Types,17
------------------------------------------------------------------,17
Definitions,17
status,16
interface,16
implementation,16
Frame,16
Implementations,16
--------------------------------------------------------,16
byte,15
Args:,14
Function:,14
on,14
Variables,14
if,14
--------------------------------------------------------------,14
Returns:,14
data,13
@c,13
@a,13
Pointer,12
send,12
int,12
group,12
Mode,11
Initializes,11
unsigned,11
-----------,11
NACK,11
Start,11
buffer,10
char,10
bit,10
routines,9
Receiver,9
module,9
layer,9
otherwise,9
Data,9
Author:,8
TWI,8
parameters,8
@return,8
Network,8
Camden,8
Measurement,8
Created:,8
ms,8
handler,7
\success,\,7
\code,\,7
network,7
ID,7
Function,7
values,7
Acknowledgment,7
USART0,7
request,7
CCA,7
success,7
node,6
Smart,6
Note:,6
received,6
Address,6
busy,6
bytes,6
Monitor,6
Receiving,6
Antenna,6
Battery,6
sure,6
void,6
PLL,6
ACK,6
false,6
value,5
req,5
Registers,5
Voltage,5
management,5
If,5
#define,5
Channel,5
Transmit,5
Select,5
Calibration,5
receive,5
Set,5
System,5
Receive,5
Return,5
Filter,5
true,5
task,5
0,5
over,5
store,4
Sensitivity,4
*-,4
return,4
NWK_ENABLE_MULTICAST,4
Threshold,4
Diversity,4
set,4
Main,4
AGC,4
Test,4
read,4
here,4
through,4
Number,4
ready,4
Group,4
production,4
External,4
contains,4
as,4
last,4
USART,4
bits,4
ATmega256rfr2,4
state,4
Signal,4
2/7/2015,4
timer,4
NWK_ENABLE_SECURITY,4
simplicity,3
NULL,3
Switch,3
ending,3
when,3
NWK_ENABLE_ROUTING,3
compiler,3
<<,3
Gain,3
partway,3
Send,3
sys.c,3
system,3
Identification,3
Route,3
Security,3
out,3
frames,3
Power,3
Receives,3
at,3
Exponent,3
Back-off,3
Regulator,3
FILE,3
NWK_ENABLE_ROUTE_DISCOVERY,3
stdout,3
Routing,3
Maximum,3
loops,3
check,3
will,3
command,3
=,3
Miller,3
Module,3
Random,3
Not,3
counter,3
returns,3
TWI_REC_NACK,3
Oscillator,3
ED,3
no,3
8,3
ATMEGAxxxRFR2,3
Crystal,3
Request,3
(1,3
Operating,3
debugging,3
it,3
CSMA-CA,3
TWI_REC_ACK,3
sets,3
Sets,3
number,3
until,3
Value,3
Device,3
first,3
Level,3
UCSR0B,3
application,2
nwkRouteDiscovery.c,2
nwkTx.c,2
Seed,2
Does,2
loop,2
End,2
Delay,2
Center,2
Awake,2
wireless,2
nwkRx.c,2
sysTimer.c,2
sysTypes.h,2
Frames,2
Extended,2
queue,2
Setting,2
Tuning,2
Adds,2
Area,2
CRC,2
TX_END,2
Compute,2
Multicast,2
we're,2
Selection,2
Indicator,2
stop,2
sysEncrypt.c,2
UDR0,2
2/10/2015,2
Cell,2
goes,2
Reserved,2
Strength,2
data;,2
NWK_DataReq(),2
hal.c,2
Library,2
which,2
Attempts,2
nwkSecurity.h,2
phy.c,2
via,2
nwkRx.h,2
Unlock,2
\bus,\,2
callback,2
multiple,2
Disable,2
York,2
nwkGroup.c,2
interrupts,2
Reduced,2
format,2
function,2
State,2
hal.h,2
overrun,2
sysConfig.h,2
macro,2
confirmation,2
allocated,2
outgoing,2
Modulation,2
MAC,2
Puts,2
LQI,2
F_CPU,2
nwkTx.h,2
reset,2
nwkDataReq.h,2
by,2
hardware,2
Match,2
Number),2
returning,2
transmission,2
Automatic,2
|,2
RX_START,2
write,2
Personal,2
Received,2
UART,2
halTimer.c,2
(or,2
member,2
nwkDataReq.c,2
sleep,2
encryption,2
halTimer.h,2
pointer,2
sysTimer.h,2
linearized,2
DVDD,2
Generator,2
RX_END,2
Frequency,2
pool,2
Store,2
tuned,2
nwkFrame.h,2
mode,2
device,2
//Commented,2
commands,2
free,2
Phase,2
\byte,\,2
Valid,2
start,2
nwkRouteDiscovery.h,2
there,2
#elif,2
sysEncrypt.h,2
frequency,2
something,2
Reduce,2
yet,2
Rx,2
PHY,2
nwkFrame.c,2
nwkCommand.h,2
defines,2
make,2
nwkRoute.c,2
default,2
USART0_Transmit,2
Lock,2
Unsupported,2
Starts,2
discovery,2
array,2
atmegarfr2.h,2
HAL,2
was,2
rate,2
case,2
(USART,2
halGpio.h,2
Bus,2
nwk.h,2
Reset,2
lock,2
Supply,2
Check,2
Use,2
///////////////////////////////////////////////////,2
endpoint,2
nwkRoute.h,2
UDR0.),2
nwk.c,2
_NWK_FRAME_H_,2
printed,2
wrong,2
\receiving,\,2
buffers,2
//////////////////////////////////////////,2
access,2
selected),2
lqi,2
Source,2
empty,2
nwkGroup.h,2
register:,2
Tx,2
contain,2
AM,2
nwkSecurity.c,2
should,2
Sends,2
phy.h,2
AVDD,2
#error,2
Hold,2
than,2
Unit,2
type,1
Prototypes//,1
Adddress,1
empty.),1
interrupt(RXCIE),1
modules,1
Discovery,1
_NWK_ROUTE_DISCOVERY_H_,1
------------,1
_SYS_TIMER_H_,1
future,1
serial,1
Mask,1
Transmit/Receive,1
interrupt,1
TWI_BeginRead,1
CSMA,1
Transmission,1
See,1
Internal,1
types,1
Word,1
TWI.c,1
records,1
USART0_Init,1
sleeping,1
Useful,1
Promiscuous,1
//output,1
sys.h,1
Calls,1
char:,1
10/6/2014,1
paBufLt,1
concatenation,1
\mode,\,1
\chosen,\,1
\loops,\,1
18:35:59,1
TWI_ReadByes,1
TWI_H_,1
PMU,1
(CCA),1
configuration,1
Writes,1
Assessment,1
_NWK_ROUTE_H_,1
Arduino,1
Transmits,1
RX/TX,1
Fewer,1
GPIO,1
Detection,1
Short,1
Regulation,1
Asynchronous,1
change,1
TWI_WriteByes,1
enable,1
---------------,1
TWI_SENT_ACK,1
_NWK_H_,1
Transaction,1
already,1
CTC,1
\data,\,1
interactions,1
based,1
transmitter,1
given,1
TWI_Write,1
CS,1
index,1
Transmitter,1
Range,1
Flush,1
long:,1
checks,1
service,1
nonzero,1
bool,1
(TWSR_MASK),1
Checks,1
\"\functions"\\,1
directly,1
normal,1
NWK_ENABLE_SECURE_COMMANDS,1
Re-transmission,1
SCL,1
IRQ,1
Calculates,1
usart0.h,1
style,1
_HAL_H_,1
stdio.h,1
(Part,1
Size),1
PA,1
TWI_SLAW_ACK,1
security,1
_PHY_H_,1
Destination,1
probability,1
RXCIE0));,1
Frees,1
starting,1
\UCSR0B),\,1
Masks,1
stream,1
Modulator,1
Handling,1
Allocates,1
\bit,\,1
transmit,1
IDs,1
ATmega256fr2,1
TWI_SLAR_ACK,1
AVRs,1
crc,1
CONFIG_H_,1
panId,1
It,1
Bit,1
Override,1
combined,1
Easier,1
baudrate,1
20:25:27,1
paLt,1
modify,1
Safe,1
since,1
_HAL_TIMER_H_,1
(0,1
BMP280.c,1
defined(__ICCAVR32__),1
//Echo,1
terms,1
Length,1
functions,1
21:12:00,1
operator,1
20:37:01,1
Prescaler,1
Manual,1
nothing,1
zero,1
line,1
_NWK_SECURITY_H_,1
\NACK,\,1
COMMON_H_,1
TC4,1
your,1
superior,1
exceed,1
UCSZ02,1
Verifies,1
Timing,1
trxStatus,1
found,1
TWI_ReadAck,1
11:11:17,1
rise,1
(configuration,1
have,1
addr,1
sends,1
TWI_Init,1
(Do,1
Consumption,1
Confirms,1
Put,1
Command,1
Capacitance,1
operating,1
up,1
common.h,1
specified,1
get,1
trxCmd,1
RX_OVERRIDE,1
_ATMEGARFR2_H_,1
(this,1
current,1
Connect,1
address,1
0xF8,1
id,1
\received,\,1
proportional,1
TX,1
Stage,1
Energy,1
debug,1
want,1
requests,1
Decreases,1
transmitted,1
public,1
Cycles,1
worried,1
Next,1
Delimiter,1
IEEE,1
us,1
setting,1
USART0_H_,1
NwkFrameHeader_t,1
UCSZ01:0,1
F_CPU),1
USART0_Receive,1
before,1
TC1,1
support,1
bus,1
Prevent,1
memory,1
runtime),1
handle,1
2-wire,1
sent,1
baud,1
Time,1
driven,1
options,1
_SYS_TYPES_H_,1
protection,1
Repetition,1
UCSZ01,1
10/10/2014,1
underscores,1
Multi-purpose,1
\protection,\,1
master//,1
tracStatus,1
Coordinator,1
Interface,1
entry,1
config.h,1
delivery,1
desired,1
Calculation,1
Static,1
Endpoint,1
Service,1
Force,1
still,1
TWI_SENT_NACK,1
USART0_Flush,1
Removes,1
TWSR,1
\interrupts,\,1
Do,1
Algorithm,1
been,1
Increases,1
anyway,1
off,1
you,1
registers,1
Inverse,1
identifier,1
Band,1
Procedure,1
(PAN),1
asynchronous,1
transceiver,1
21:12:13,1
Pending,1
table,1
Process,1
Timer,1
TWI.h,1
Clear,1
being,1
depending,1
----------------------------------------------------------,1
powering,1
usart0.c,1
remove,1
accordingly,1
Reads,1
defined(__ICCARM__),1
Register(UDR0.),1
master,1
all,1
ind,1
@req,1
configyration,1
PAN,1
whether,1
Slotted,1
--------------,1
BAUD,1
_NWK_RX_H_,1
freed,1
Modes,1
UBRR,1
TXEN0),1
BMP280.h,1
Write,1
bit(by,1
PHY_ATMEGARFR2,1
_SYS_H_,1
_NWK_COMMAND_H_,1
triggered,1
Loop,1
Switches,1
defined,1
reaches,1
Rate,1
using,1
\RX/TX,\,1
settings,1
IPAN,1
more,1
stored,1
txPwr,1
definitions,1
USART0_putchar_printf,1
file,1
Result,1
io,1
Pin,1
Digital,1
Called,1
fields,1
quick,1
//read,1
\needed,\,1
need,1
TWI_Stop,1
TWI_BeginWrite,1
RXEN0),1
ISR,1
Wait,1
Sigma-Delta,1
mode//,1
between,1
actually,1
UCSZ00,1
SYS_Init();,1
BMP280_H_,1
20:24:55,1
true);,1
Reception,1
Complete,1
Minimum,1
content,1
Sub-field,1
bit(settings,1
pg,1
register,1
don't,1
fine,1
RX,1
delay,1
Type,1
_NWK_DATA_REQ_H_,1
PORTS,1
otherwise),1
_SYS_ENCRYPT_H_,1
expect,1
receiver,1
Trimming,1
SYS_TaskHandler();,1
_SYS_CONFIG_H_,1
Routine,1
datasheet,1
always,1
print,1
\nwkRouteDiscoveryDone(entry,\,1
arguments,1
TWI_ReadNack,1
active,1
390,1
about),1
(Character,1
Some,1
Load,1
long,1
corresponding,1
May,1
computed,1
UDR0;,1
\selected,\,1
_NWK_TX_H_,1
_HAL_GPIO_H_,1
(Version,1
400kHz),1
(Waiting,1
description,1
Stop,1
Typed,1
(1-15),1
Prepares,1
Sanity,1
11:47:44,1
Serial,1
kind,1
